"","lagoslakeid","water_year","totaldepnitrogen_kgperha","flux","lake_lon_decdeg","lake_lat_decdeg","totTNload_gm2yr","TN_removal_gNm2yr"
"728","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"729","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"730","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"731","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"732","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"733","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"734","456953",2011,4.378951039,70560.3159082452,-120.096653596,39.4059021067,7056.46948592842,9921883.16559334
"735","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"736","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"737","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"738","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"739","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"740","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"741","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"742","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"743","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"744","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"745","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"746","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"747","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"748","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"749","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"750","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"751","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"752","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"753","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"754","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"755","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"756","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"757","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"758","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"759","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
"760","456953",2012,4.7805957898,18304.7393762321,-120.096653596,39.4059021067,1830.95199720219,776828.031748664
